x,y,rob
0.3067,5.8304,0.9597
0.32006,5.8802,0.93066
0.37775,5.8612,0.94828
0.31994,5.8805,0.93058
0.31158,5.9748,0.93464
0.31018,5.9749,0.93335
0.30464,5.9545,0.93412
0.30465,5.9553,0.92983
0.31306,5.8181,0.93903
0.31074,5.8255,0.95037
0.30977,5.8276,0.93
0.36972,5.9684,0.94416
0.3071,5.6165,0.95628
0.30157,5.6463,0.95723
0.30311,5.3744,0.96891
0.30126,5.6462,0.94893
0.30101,5.6459,0.95568
0.30027,5.6468,0.94897
0.36985,5.5405,0.98499
0.30013,5.6466,0.9562
0.30126,5.7847,0.93961
0.3744,5.8294,0.97263
0.39453,5.2642,0.99199
0.30037,5.7865,0.94307
0.30077,5.7849,0.93974
0.30025,5.7837,0.9352
0.41008,5.9344,0.96185
0.3107,5.9299,0.94139
0.30012,5.7844,0.93595
0.51918,5.416,1.0034
0.30006,5.7844,0.94136
0.30005,5.7843,0.9378
0.30003,5.7843,0.94308
0.35751,5.8714,0.94756
0.30001,5.7841,0.94186
0.3,5.7841,0.93808
0.30269,5.7435,0.94033
0.30262,5.7438,0.94524
0.52041,5.583,0.98518
0.30089,5.7388,0.94461
0.30188,5.6399,0.95013
0.30148,5.6406,0.95723
0.30104,5.6373,0.95072
0.33795,5.379,0.98249
0.30073,5.638,0.96132
0.30036,5.6385,0.94882
0.30011,5.6383,0.96333
0.30002,5.6383,0.96211
0.3,5.6383,0.95675
0.303,5.632,0.95182
0.36209,5.3915,0.97871
0.30229,5.6328,0.95633
0.30183,5.631,0.95455
0.30059,5.6038,0.9651
0.54129,5.5483,0.99026
0.30161,5.6312,0.95672
0.3064,5.6602,0.94994
0.55056,5.2399,1.0035
0.30364,5.6936,0.963
0.44003,5.5957,0.97838
0.38841,5.386,0.9872
0.30479,5.6591,0.95769
0.30197,5.6796,0.95851
0.30126,5.6873,0.96443
0.30075,5.688,0.94521
0.33473,5.6967,0.95189
0.30743,5.5168,0.95984
0.33066,5.6924,0.95517
0.40288,5.2982,0.99636
0.31693,5.684,0.96776
