x,y,rob
0.37914,5.9802,0.0433
0.37583,5.9906,0.043143
0.42633,5.9954,0.084609
0.36866,5.962,0.038618
0.35969,5.9821,0.029094
0.35924,5.9657,0.029177
0.35902,5.9719,0.032151
0.36291,5.174,0.19438
0.36663,5.3906,0.16638
0.36182,5.9818,0.031327
0.53318,5.2996,0.303
0.36795,5.9918,0.030822
0.36704,5.9963,-0.019951
0.36204,5.9992,-0.024349
0.38357,5.8023,0.17084
0.36203,5.9992,-0.024359
0.36206,5.9995,-0.024798
0.36203,5.9996,-0.024956
0.36202,5.9998,-0.024966
0.36203,5.9998,-0.024958
0.36203,5.9998,-0.024951
0.34686,5.6394,0.12635
0.50016,5.4036,0.26781
0.36203,5.9998,-0.024951
0.36312,5.7576,0.15854
0.54774,5.7353,0.2997
0.36207,5.9999,-0.024906
0.32245,5.2068,0.15148
0.36207,5.9999,-0.024912
0.36209,5.9999,-0.024893
0.36211,6,-0.024872
0.38929,5.8334,0.17826
0.36211,6,-0.024875
0.36211,6,-0.024874
0.36211,6,-0.024874
0.36211,6,-0.024874
0.34017,5.9445,0.017631
0.36211,6,-0.024873
0.41249,5.619,0.18083
0.36123,5.6828,0.14473
0.33258,5.7265,0.12511
0.36211,6,-0.024874
0.48844,5.275,0.27891
0.36211,6,-0.024874
0.36211,6,-0.024874
0.31352,5.9641,0.063359
0.34902,5.9956,0.013864
0.357,5.7897,0.14854
0.36211,6,-0.024874
0.54689,5.3739,0.30324
0.36211,6,-0.024874
0.56581,5.7639,0.31702
0.36211,6,-0.024874
0.36211,6,-0.024874
0.41819,5.2745,0.22769
0.36211,6,-0.024874
0.36211,6,-0.024874
0.36211,6,-0.024874
0.36211,6,-0.024874
0.34015,5.9979,-0.051004
0.34035,5.9982,0.0048318
0.33998,5.9994,0.003499
0.36915,5.9632,0.035376
0.34022,5.9989,0.0044918
0.33993,5.9981,0.0058895
0.33934,5.9985,0.0056161
0.49667,5.7567,0.27066
0.34044,5.9992,0.0041253
0.33724,5.9866,0.0024005
0.33454,5.9954,-0.0017023
0.34467,5.9995,-0.044393
0.33094,5.9801,-0.0024502
0.34467,5.9996,-0.044351
0.34459,5.9998,-0.044723
0.31956,5.9397,0.069268
0.34459,5.9998,-0.044722
0.32048,5.9889,-0.010131
0.34459,5.9999,-0.044726
0.3322,5.9887,0.0021556
0.34982,5.8873,0.12273
0.34459,5.9999,-0.044728
0.3446,5.9999,-0.044702
0.43441,5.8841,0.19103
0.31298,5.9066,0.072042
0.34456,6,-0.0451
0.56912,5.4928,0.29493
0.34456,6,-0.0451
0.51972,5.6878,0.27285
0.34456,6,-0.045101
0.34456,6,-0.045101
0.32728,5.2698,0.14952
0.51,5.9767,0.22246
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34393,5.9961,0.010147
0.41948,5.7729,0.20946
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.33382,5.9064,0.095346
0.33702,5.8686,0.10977
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.39941,5.4826,0.17321
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.34456,6,-0.045101
0.38889,5.5057,0.1584
0.34456,6,-0.045101
0.33578,5.9617,0.0081998
0.33102,5.9874,0.0015614
0.35919,5.1527,0.20388
0.34456,6,-0.045101
0.34063,5.9906,0.010905
0.34045,5.995,0.0083157
0.30694,5.9574,0.047776
0.31665,5.9405,0.065662
0.34006,5.9961,0.0059317
0.33992,5.9976,0.0059877
0.34018,5.998,-0.050967
0.3127,5.9166,0.069136
0.34026,5.9993,0.0039818
0.43185,5.9131,0.1792
0.44421,5.9829,0.17584
0.33771,5.9997,0.001592
0.30787,5.9119,0.065128
0.3403,5.9988,0.0057673
0.37865,5.9389,0.1299
0.44165,5.65,0.21204
0.3396,5.9991,0.0034914
0.33963,5.9988,-0.052218
0.33998,5.9991,0.0035496
0.33166,5.8831,0.10387
0.31646,5.6486,0.092415
0.34676,5.1323,0.19436
0.3688,5.2518,0.18948
0.30985,5.6476,0.08403
0.37548,5.11,0.22423
0.30253,5.6839,0.081745
0.30064,5.6858,0.082736
0.31687,5.5911,0.089355
0.3212,5.1755,0.15471
0.3029,5.4049,0.097843
0.31471,5.7924,0.10585
0.30157,5.4044,0.095761
0.3921,5.6532,0.16867
0.30104,5.4036,0.096121
0.32641,5.5544,0.094207
0.3102,5.3949,0.10956
0.33354,5.3343,0.14205
0.33004,5.3393,0.13854
0.3204,5.4312,0.10233
0.50042,5.8092,0.27587
0.30735,5.6454,0.083636
0.30677,5.679,0.083945
0.33265,5.6308,0.10336
0.34835,5.5991,0.12042
0.38213,5.4589,0.15848
0.37443,5.5908,0.14439
0.3033,5.6893,0.084143
0.46712,5.3172,0.25723
0.42655,5.5853,0.19058
0.30074,5.6907,0.083629
0.30033,5.682,0.079448
0.3416,5.1116,0.19432
0.30014,5.6818,0.080219
0.30323,5.7851,0.094026
0.30166,5.7853,0.090414
0.30148,5.7865,0.088982
0.55281,5.8517,0.29003
0.3014,5.7864,0.08876
0.30123,5.7863,0.088998
0.44166,5.3569,0.23143
0.3025,5.8371,0.086668
0.3015,5.8504,0.080847
0.31109,5.8974,0.071391
0.30916,5.8984,0.068689
0.33909,5.7475,0.13836
0.50826,5.4161,0.26368
0.30726,5.9719,0.044328
0.30599,5.9553,0.048511
0.4321,5.8402,0.21376
0.30477,5.9647,0.048072
0.3056,5.9671,0.051086
0.30053,5.9615,0.039101
0.30136,5.9646,0.042392
0.31539,5.8537,0.092341
0.31555,5.9909,0.057834
0.30048,5.9697,-0.0027635
0.30024,5.9698,0.040906
0.30017,5.968,0.039748
0.30004,5.9695,0.036194
0.30004,5.9695,0.036194
0.30001,5.9696,0.04096
0.47997,5.6858,0.24779
0.30001,5.9696,0.040952
0.53118,5.8388,0.28316
0.3,5.9696,0.040951
0.3,5.9696,0.040947
0.3,5.9696,0.040946
0.3,5.9696,0.040946
0.3,5.9696,0.040946
0.31009,5.9937,0.052704
0.30978,5.9947,0.052135
